Date,AAPL,GOOGL,MSFT,AMZN,TSLA,JPM,META,NVDA,BAC,JNJ,PFE,UNH,XOM,CVX,WMT,PG,KO,HD,COP
2024-01-02,185.64,2741.24,374.58,3091.74,238.45,168.35,353.96,481.64,33.12,160.25,43.78,533.50,103.42,147.35,159.42,155.68,60.12,378.45,119.85
2024-01-03,184.25,2728.91,372.89,3104.12,243.84,170.25,356.82,495.22,32.89,159.84,44.12,528.95,105.78,149.23,158.95,154.23,59.87,375.68,121.45
2024-01-04,185.92,2755.03,378.45,3087.56,248.48,169.85,361.25,502.11,33.45,161.12,43.95,532.18,104.25,148.67,160.12,156.78,60.45,382.15,120.78
2024-01-05,188.13,2762.48,381.25,3125.89,252.64,171.45,358.74,485.36,34.12,162.84,44.58,535.42,106.89,151.34,161.78,158.45,61.23,389.25,123.15
2024-01-08,186.96,2748.15,379.84,3098.74,246.12,168.95,355.68,478.92,33.78,161.45,43.89,529.78,105.45,149.78,160.45,157.12,60.89,385.78,121.89
2024-01-09,189.97,2785.42,385.67,3142.36,255.78,173.25,368.45,512.89,34.89,163.95,45.12,542.36,108.67,153.45,163.25,160.78,62.15,394.67,125.34
2024-01-10,192.53,2798.67,388.92,3158.94,261.45,175.68,372.18,528.45,35.45,165.78,45.89,548.92,110.23,156.78,165.89,162.45,63.12,401.23,128.67
2024-01-11,190.15,2776.84,384.56,3134.67,253.89,172.45,366.92,498.67,34.67,164.12,44.78,538.45,107.89,152.34,162.67,159.89,61.78,392.45,124.89
2024-01-12,193.60,2812.35,392.45,3175.28,267.23,178.34,378.25,545.78,36.23,167.45,46.34,556.78,112.45,159.67,168.34,165.23,64.45,408.89,131.56
2024-01-16,191.56,2789.45,387.78,3149.82,258.67,174.89,371.56,521.34,35.12,165.89,45.67,543.21,109.56,155.89,164.78,162.34,63.78,398.67,127.34
2024-01-17,195.89,2834.67,396.23,3198.45,274.89,181.67,385.67,567.89,37.45,169.78,47.23,572.34,115.67,163.45,171.23,168.45,66.12,418.34,135.67
2024-01-18,194.23,2821.45,393.78,3182.67,269.45,179.23,381.23,554.67,36.78,168.34,46.89,565.89,113.23,161.78,169.45,166.78,65.45,412.78,133.23
2024-01-19,197.68,2856.78,401.23,3221.89,281.67,184.56,392.45,589.23,38.67,172.45,48.12,584.67,118.45,167.23,174.56,171.23,67.89,427.89,139.45
2024-01-22,196.38,2845.23,398.67,3205.34,276.23,182.34,388.78,571.45,37.89,170.78,47.56,578.23,116.78,165.45,172.34,169.67,67.12,423.45,137.23
2024-01-23,199.25,2871.45,404.89,3245.67,289.45,187.89,398.67,612.78,39.78,174.67,49.23,597.89,121.34,170.78,177.89,174.45,69.67,434.67,143.78
2024-01-24,201.12,2889.23,408.45,3267.89,295.67,190.23,405.23,628.45,40.45,176.89,50.12,608.45,124.67,173.45,180.67,177.23,71.23,442.78,147.23
2024-01-25,198.67,2863.78,403.67,3238.45,286.78,186.78,396.45,598.67,39.12,173.45,48.89,589.23,119.89,169.34,176.45,172.89,68.78,429.56,141.89
2024-01-26,203.45,2912.67,412.78,3289.67,304.23,194.67,412.89,648.23,41.67,179.23,51.45,621.78,128.45,177.89,184.23,180.67,73.12,451.34,151.67
2024-01-29,205.85,2934.89,416.23,3312.45,312.89,197.45,418.67,671.45,42.78,181.67,52.34,635.89,131.78,181.23,187.67,183.45,74.89,458.23,155.34
2024-01-30,202.34,2898.45,409.78,3276.89,296.45,192.67,407.23,634.78,40.89,177.89,50.67,612.45,126.34,174.67,181.89,178.23,72.45,443.67,148.78